signal_date,ts_code,score,rank,n_stocks,train_end,target
20250506,601021.SH,0.0079657328,6,16,20250331,excess_vs_000300.SH
20250506,601155.SH,0.0079657328,7,16,20250331,excess_vs_000300.SH
20250506,601899.SH,0.0079657328,8,16,20250331,excess_vs_000300.SH
20250506,688981.SH,0.0079657328,9,16,20250331,excess_vs_000300.SH
20250506,002415.SZ,0.0071022389,10,16,20250331,excess_vs_000300.SH
20250506,002508.SZ,0.0071022389,11,16,20250331,excess_vs_000300.SH
20250506,300012.SZ,0.0071022389,12,16,20250331,excess_vs_000300.SH
20250506,300476.SZ,0.0066026554,13,16,20250331,excess_vs_000300.SH
20250506,601233.SH,0.0066026554,14,16,20250331,excess_vs_000300.SH
20250506,603259.SH,0.0066026554,15,16,20250331,excess_vs_000300.SH
20250506,688005.SH,0.0066026554,16,16,20250331,excess_vs_000300.SH
20250603,002415.SZ,0.028244612,1,16,20250428,excess_vs_000300.SH
20250603,002371.SZ,0.0195505159,2,16,20250428,excess_vs_000300.SH
20250603,300012.SZ,0.0162049885,3,16,20250428,excess_vs_000300.SH
20250603,603345.SH,0.0141665748,4,16,20250428,excess_vs_000300.SH
20250603,300476.SZ,0.0131730373,5,16,20250428,excess_vs_000300.SH
20250603,601233.SH,0.0064979623,6,16,20250428,excess_vs_000300.SH
20250603,002507.SZ,0.0048218292,7,16,20250428,excess_vs_000300.SH
20250603,601021.SH,-0.0012589776,8,16,20250428,excess_vs_000300.SH
20250603,688981.SH,-0.0062807541,9,16,20250428,excess_vs_000300.SH
20250603,601899.SH,-0.0064984759,10,16,20250428,excess_vs_000300.SH
20250603,002508.SZ,-0.0112018406,11,16,20250428,excess_vs_000300.SH
20250603,600418.SH,-0.0185759034,12,16,20250428,excess_vs_000300.SH
20250603,688169.SH,-0.0239551936,13,16,20250428,excess_vs_000300.SH
20250603,601155.SH,-0.0288714912,14,16,20250428,excess_vs_000300.SH
20250603,603259.SH,-0.034321603,15,16,20250428,excess_vs_000300.SH
20250603,688005.SH,-0.0434906668,16,16,20250428,excess_vs_000300.SH
