ts_code,trade_date,open,high,low,close,vol,amount
000300.SH,20230724,3803.3492,3828.7853,3798.8048,3805.221,75483545.0,151448369.5662
000300.SH,20230725,3866.6445,3915.8148,3866.6445,3915.1153,163066320.0,299853562.1681
000300.SH,20230726,3908.174,3912.9834,3893.3987,3907.0128,107881717.0,192912604.792
000300.SH,20230727,3914.2298,3935.3578,3894.6923,3902.3458,110667109.0,196845425.5133
000300.SH,20230728,3889.7929,4000.919,3886.5535,3992.7376,179735481.0,310092467.4045
000300.SH,20230731,4018.8895,4064.3621,4002.0784,4014.6301,199606830.0,366544120.0036
000300.SH,20230801,4009.1831,4031.7008,3983.0273,3998.001,142286859.0,255620773.6376
000300.SH,20230802,3985.6951,4008.3343,3958.5127,3969.895,125855690.0,204875690.9238
000300.SH,20230803,3962.1296,4004.9996,3962.1296,4004.9839,129006640.0,224809824.8203
000300.SH,20230804,4033.7239,4058.2431,4011.6202,4020.5792,178267189.0,316529733.8377
000300.SH,20230807,4002.9677,4002.9677,3977.0173,3990.1531,121310662.0,227090572.7509
000300.SH,20230808,3980.0423,4002.2904,3963.4632,3979.7322,109871699.0,202611335.3138
000300.SH,20230809,3967.3566,3982.1091,3961.8434,3967.5652,94640269.0,174394242.7653
000300.SH,20230810,3962.8569,3976.4637,3945.3869,3975.7166,97176849.0,175646730.1982
000300.SH,20230811,3977.9834,3977.9834,3884.2538,3884.2538,126082931.0,203546314.6474
000300.SH,20230814,3840.8872,3859.4718,3814.0711,3855.9061,115966336.0,197623765.2464
000300.SH,20230815,3858.3662,3865.284,3811.6839,3846.5357,103097111.0,177437071.6925
000300.SH,20230816,3830.8274,3852.4198,3817.6324,3818.3338,94616946.0,169323869.0276
000300.SH,20230817,3801.1969,3836.1507,3782.4967,3831.1008,98415493.0,174093848.2429
000300.SH,20230818,3832.4554,3844.195,3784.0038,3784.0038,95549638.0,168445686.9882
000300.SH,20230821,3773.225,3782.1112,3729.555,3729.555,98708369.0,173379942.9066
000300.SH,20230822,3748.0675,3770.0556,3704.6785,3758.2271,120318327.0,203463879.6718
000300.SH,20230823,3751.7736,3756.1659,3695.0309,3696.6339,97081638.0,160476231.5869
000300.SH,20230824,3711.5403,3748.8567,3701.5717,3723.4293,119614521.0,196257391.0837
000300.SH,20230825,3703.5136,3734.2185,3695.8442,3709.1517,105182610.0,175601437.1729
000300.SH,20230828,3911.5485,3911.5485,3740.5279,3752.6194,197990379.0,335047670.9668
000300.SH,20230829,3743.0534,3810.3772,3742.0758,3790.1067,152486146.0,262134936.751
000300.SH,20230830,3803.1191,3813.7032,3780.2411,3788.5097,129671661.0,226727480.8387
000300.SH,20230831,3786.9261,3793.9972,3762.0046,3765.2678,118961646.0,193577001.342
000300.SH,20230901,3778.9129,3808.5306,3778.9129,3791.4912,105319045.0,172219141.5861
000300.SH,20230904,3812.9873,3854.2605,3804.5886,3848.9517,142385201.0,237934727.9243
000300.SH,20230905,3839.5779,3839.5779,3814.3338,3820.3174,104052333.0,181377877.9553
000300.SH,20230906,3808.1,3817.5239,3790.8949,3812.0283,93442393.0,166081524.0072
000300.SH,20230907,3802.2272,3802.2272,3756.853,3758.4748,95103903.0,164405748.8275
000300.SH,20230908,3747.6509,3753.263,3724.987,3739.9927,71638166.0,129197657.3031
000300.SH,20230911,3740.5846,3788.3219,3734.7228,3767.537,105358016.0,186871759.4413
000300.SH,20230912,3764.3331,3775.093,3755.4162,3760.6048,79385378.0,140117510.2333
000300.SH,20230913,3759.6091,3768.8162,3719.1114,3736.6513,81576901.0,138238089.9125
000300.SH,20230914,3736.9355,3748.8177,3717.3107,3733.5077,100386075.0,151578100.4639
000300.SH,20230915,3740.7853,3749.0247,3699.3806,3708.7766,109395689.0,180398970.9383
000300.SH,20230918,3698.9344,3737.5306,3691.1107,3727.711,86727741.0,156966973.9105
000300.SH,20230919,3723.4244,3724.0717,3702.6934,3720.5021,83199038.0,135216895.2294
000300.SH,20230920,3715.9578,3718.5207,3705.1274,3705.6898,75448209.0,117691805.9572
000300.SH,20230921,3698.313,3708.4557,3672.4448,3672.4448,83031005.0,135011796.5552
000300.SH,20230922,3672.6402,3740.4183,3664.7661,3738.9327,110231166.0,192236467.3628
000300.SH,20230925,3738.0622,3738.0622,3711.2049,3714.6037,92596479.0,155793827.3615
000300.SH,20230926,3711.7106,3723.8481,3692.6172,3692.8928,78044525.0,137808437.7748
000300.SH,20230927,3694.9607,3731.1405,3694.3938,3700.495,91629210.0,164790435.2658
000300.SH,20230928,3711.2117,3716.0569,3685.3001,3689.5172,85221719.0,153500421.344
000300.SH,20231009,3678.929,3694.1713,3641.9966,3684.7272,102148058.0,178072374.7481
000300.SH,20231010,3696.2542,3701.2562,3655.589,3657.1259,99163730.0,161938958.9248
000300.SH,20231011,3674.7514,3689.5347,3658.355,3667.5483,102091587.0,187667554.1266
000300.SH,20231012,3697.9337,3711.4985,3682.8418,3702.3824,114363225.0,194598219.8173
000300.SH,20231013,3677.9585,3678.1913,3652.3094,3663.4104,98287987.0,170152309.003
000300.SH,20231016,3664.039,3664.039,3615.7686,3626.5972,91853118.0,159537973.5984
000300.SH,20231017,3635.2994,3645.5654,3619.1277,3639.4018,90745188.0,147056233.3474
000300.SH,20231018,3631.0671,3632.0579,3608.9768,3610.5767,94545879.0,158982356.6674
000300.SH,20231019,3588.5154,3588.5154,3532.3059,3533.5445,111737520.0,189194781.8439
000300.SH,20231020,3518.3464,3535.6623,3501.725,3510.5889,98518605.0,169591289.1453
000300.SH,20231023,3500.199,3505.3468,3450.6456,3474.2438,96561652.0,152054894.179
000300.SH,20231024,3481.7644,3495.0039,3453.1016,3487.1302,115547289.0,186529203.442
000300.SH,20231025,3524.2965,3531.8314,3500.9154,3504.4576,128009617.0,203691741.1192
000300.SH,20231026,3484.7807,3515.5716,3478.0503,3514.1448,105143566.0,176088467.2258
000300.SH,20231027,3501.171,3576.5861,3494.5488,3562.3851,120225108.0,224301960.437
000300.SH,20231030,3554.1055,3592.7188,3554.0238,3583.7718,144010426.0,242973328.0944
000300.SH,20231031,3581.6759,3581.6759,3554.5822,3572.5056,112587267.0,196317658.3241
000300.SH,20231101,3605.7576,3606.4126,3564.6421,3571.0268,97645538.0,182943566.4353
000300.SH,20231102,3580.0672,3597.1699,3553.7406,3554.1889,90359643.0,149465055.4339
000300.SH,20231103,3558.5303,3596.101,3558.5303,3584.1364,97542101.0,165865989.2003
000300.SH,20231106,3608.3187,3635.7897,3600.6304,3632.6084,152982463.0,254465948.1104
000300.SH,20231107,3623.7849,3628.4615,3606.2975,3619.7593,110288591.0,190433605.3107
000300.SH,20231108,3610.6434,3627.0479,3591.8248,3611.0723,110594230.0,192594372.3525
000300.SH,20231109,3603.1082,3624.4141,3601.3744,3612.8263,111872057.0,189355228.5917
000300.SH,20231110,3596.0688,3599.4519,3576.1011,3586.4893,102107034.0,166924677.3283
000300.SH,20231113,3593.9109,3599.3897,3562.7682,3579.4141,96707649.0,164821249.6247
000300.SH,20231114,3581.1034,3600.1483,3568.882,3582.0584,100884158.0,165935163.4262
000300.SH,20231115,3616.8765,3620.6007,3596.9158,3607.2454,104929218.0,188932150.5006
000300.SH,20231116,3600.9813,3605.2898,3572.3636,3572.3641,87464780.0,146629217.1578
000300.SH,20231117,3561.3112,3573.6819,3547.0287,3568.0685,87319207.0,139621898.7052
000300.SH,20231120,3569.7314,3586.9731,3545.1038,3576.3233,91080445.0,157449634.694
000300.SH,20231121,3587.8779,3615.0569,3575.682,3581.0674,108594314.0,175922105.9299
000300.SH,20231122,3569.4389,3574.3782,3544.4162,3544.4162,84784381.0,136041195.5389
000300.SH,20231123,3541.4416,3562.0675,3529.939,3561.5204,84800167.0,141499811.4909
000300.SH,20231124,3560.6462,3560.6462,3533.9955,3538.0087,85018403.0,140101998.5553
000300.SH,20231127,3534.4445,3534.4445,3492.8623,3511.9424,99102314.0,155975437.0357
000300.SH,20231128,3510.6554,3521.0463,3501.1093,3518.5232,89335789.0,147740535.8624
000300.SH,20231129,3518.8836,3519.198,3482.2444,3488.3073,98841412.0,155948235.9759
000300.SH,20231130,3485.5171,3505.1273,3481.4515,3496.2028,101350820.0,153790180.6533
000300.SH,20231201,3494.2234,3494.2234,3452.1728,3482.8813,108530941.0,176078323.4694
000300.SH,20231204,3481.0449,3488.133,3459.611,3460.138,97156826.0,164664395.2929
000300.SH,20231205,3450.0898,3450.0898,3393.8139,3394.2571,100472007.0,164840691.1121
000300.SH,20231206,3387.8798,3420.2773,3382.9457,3399.598,105805519.0,172142987.7249
000300.SH,20231207,3394.3064,3404.4074,3369.7675,3391.2823,97713248.0,160949948.1973
000300.SH,20231208,3391.8585,3409.3845,3383.4479,3399.4618,129522054.0,203034222.5611
